2024-09-11 21:22:27,117 INFO    StreamThr :65839 [internal.py:wandb_internal():85] W&B internal server running at pid: 65839, started at: 2024-09-11 21:22:27.117579
2024-09-11 21:22:27,119 DEBUG   HandlerThread:65839 [handler.py:handle_request():158] handle_request: status
2024-09-11 21:22:27,120 INFO    WriterThread:65839 [datastore.py:open_for_write():87] open: /home/edward/Sila/wandb/run-20240911_212227-cd3nn0n4/run-cd3nn0n4.wandb
2024-09-11 21:22:27,121 DEBUG   SenderThread:65839 [sender.py:send():391] send: header
2024-09-11 21:22:27,121 DEBUG   SenderThread:65839 [sender.py:send():391] send: run
2024-09-11 21:22:27,331 INFO    SenderThread:65839 [dir_watcher.py:__init__():211] watching files in: /home/edward/Sila/wandb/run-20240911_212227-cd3nn0n4/files
2024-09-11 21:22:27,331 INFO    SenderThread:65839 [sender.py:_start_run_threads():1200] run started: cd3nn0n4 with start time 1726089747.116846
2024-09-11 21:22:27,337 DEBUG   HandlerThread:65839 [handler.py:handle_request():158] handle_request: run_start
2024-09-11 21:22:37,288 DEBUG   HandlerThread:65839 [system_info.py:__init__():26] System info init
2024-09-11 21:22:37,288 DEBUG   HandlerThread:65839 [system_info.py:__init__():41] System info init done
2024-09-11 21:22:37,288 INFO    HandlerThread:65839 [system_monitor.py:start():194] Starting system monitor
2024-09-11 21:22:37,288 INFO    SystemMonitor:65839 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-09-11 21:22:37,289 INFO    HandlerThread:65839 [system_monitor.py:probe():214] Collecting system info
2024-09-11 21:22:37,289 INFO    SystemMonitor:65839 [interfaces.py:start():188] Started cpu monitoring
2024-09-11 21:22:37,290 INFO    SystemMonitor:65839 [interfaces.py:start():188] Started disk monitoring
2024-09-11 21:22:37,291 INFO    SystemMonitor:65839 [interfaces.py:start():188] Started gpu monitoring
2024-09-11 21:22:37,291 INFO    SystemMonitor:65839 [interfaces.py:start():188] Started memory monitoring
2024-09-11 21:22:37,293 INFO    SystemMonitor:65839 [interfaces.py:start():188] Started network monitoring
2024-09-11 21:22:37,341 DEBUG   HandlerThread:65839 [system_info.py:probe():152] Probing system
2024-09-11 21:22:37,342 DEBUG   HandlerThread:65839 [system_info.py:_probe_git():137] Probing git
2024-09-11 21:22:37,346 DEBUG   HandlerThread:65839 [system_info.py:_probe_git():145] Probing git done
2024-09-11 21:22:37,346 DEBUG   HandlerThread:65839 [system_info.py:probe():200] Probing system done
